Journal,Abbreviation,Society,Publisher,Policy Description,Policy short,Date policy took effect,Integrated into Dryad?,Date of Dryad integration,Data Policy URLs,Comment
Journal of Heredity,J. Hered.,American Genetic Assoc.,OUP,asking all authors to deposit data,Required,01.01.2013,Y,2/24/2010,http://www.oxfordjournals.org/our_journals/jhered/for_authors/msprep_submission.html#4. DATA ARCHIVING POLICY    http://jhered.oxfordjournals.org/content/104/1/1.full,
Journal of Human Evolution,,none,Elsevier,,,,,,,
Journal of Molecular Evolution,J. Mol. Evol.,none,Springer,,None,-,,,http://www.springer.com/life+sciences/evolutionary+%26+developmental+biology/journal/239,
Journal of Morphology,,NA,Wiley InterScience,,,,,,,
Journal of Paleontology,J. Paleontol.,Paleontological Society,The Paleontological Society,considering,None,-,,,http://journals.cambridge.org/action/displaySpecialPage?pageId=6832,
Malaria Journal,,,BMC,,,,,,,
Molecular Biology and Evolution,Mol. Biol. Evol.,Society for Molecular Biology and Evolution,Oxford Univ. Press,adopted the Joint Data Sharing Policy or its equivalent,Required,01.01.2010-31.12.2010,,,http://mbe.oxfordjournals.org/content/27/3/742.full,
Molecular Ecology,Mol. Ecol.,NA,Wiley-Blackwell,has adopted Joint Data Archiving Policy or its equivalent; archiving mandatory 1/1/11,Required,01.01.2011,Y,11/29/2009,https://www.researchgate.net/profile/Nolan_Kane/publication/229928788_Editorial__20years_of_Molecular_Ecology/links/541c4d120cf241a65a0ca0b4.pdf,It seems that the policy was actually adopted in 2011: https://www.researchgate.net/profile/Nolan_Kane/publication/229928788_Editorial__20years_of_Molecular_Ecology/links/541c4d120cf241a65a0ca0b4.pdf
Molecular Ecology Resources,,NA,Wiley-Blackwell,JDAP,Required,01.01.2011,Y,11/15/2010,,
Molecular Phylogenetics and Evolution,Mol. Phylogenet. Evol.,NA,Elsevier,,Encouraged,-,,,http://www.elsevier.com/journals/molecular-phylogenetics-and-evolution/1055-7903/guide-for-authors#88011,"According to the old 'policy' entry this journal had adopted JDAP. The link on the left suggests that it didn't, though."
Molecular Systems Biology,,EMBO,EMBO & NPG,,,,,,,
Nature,,,NPG,sharing data publicly is weakly encouraged,Encouraged,,,,http://www.nature.com/authors/policies/availability.html,
Nature Genetics,,,NPG,,,,,,,
